law,field,value,source_url,quote,pattern
sb4,sunset,"January 1, 2036",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,"January 1, 2036, and as of that date is repealed","(?P<v>January 1, 2036), and as of that date is repealed"
ab2243,chapter,272,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2243,Assembly Bill No. 2243 CHAPTER 272,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab2243,enacted,"September 19, 2024",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2243,"Approved by Governor September 19, 2024.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab2243,effective,"January 1, 2025",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65912.111,"Stats. 2024, Ch. 272, Sec. 4. (AB 2243) Effective January 1, 2025","Stats\. 2024, Ch\. 272, Sec\. [\d.]+\. \(AB\ 2243\) Effective (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})"
ab2243,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB2243,"AB 2243, Wicks. Housing development projects: objective standards: affordability and site criteria.","AB 2243, Wicks\. Housing development projects: objective standards: affordability and site criteria\."
ab68,chapter,655,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB68,Assembly Bill No. 68 CHAPTER 655,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab68,enacted,"October 09, 2019",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB68,"Approved by Governor October 09, 2019.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab68,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB68,"AB 68, Ting. Land use: accessory dwelling units.","AB 68, Ting\. Land use: accessory dwelling units\."
ab68,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB68,ministerially approve or deny a permit application for the creation of an accessory dwelling unit or junior accessory dwelling unit within 60 days,ministerially approve or deny a permit application for the creation of an accessory dwelling unit or junior accessory dwelling unit within 60 days
ab881,chapter,659,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB881,Assembly Bill No. 881 CHAPTER 659,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab881,enacted,"October 09, 2019",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB881,"Approved by Governor October 09, 2019.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab881,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB881,"AB 881, Bloom. Accessory dwelling units.","AB 881, Bloom\. Accessory dwelling units\."
ab587,chapter,657,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB587,Assembly Bill No. 587 CHAPTER 657,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab587,enacted,"October 09, 2019",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB587,"Approved by Governor October 09, 2019.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab587,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB587,"AB 587, Friedman. Accessory dwelling units: sale or separate conveyance.","AB 587, Friedman\. Accessory dwelling units: sale or separate conveyance\."
ab2221,chapter,650,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2221,Assembly Bill No. 2221 CHAPTER 650,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab2221,enacted,"September 28, 2022",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2221,"Approved by Governor September 28, 2022.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab2221,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2221,"AB 2221, Quirk-Silva. Accessory dwelling units.","AB 2221, Quirk-Silva\. Accessory dwelling units\."
sb897,chapter,664,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB897,Senate Bill No. 897 CHAPTER 664,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb897,enacted,"September 28, 2022",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB897,"Approved by Governor September 28, 2022.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb897,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB897,"SB 897, Wieckowski. Accessory dwelling units: junior accessory dwelling units.","SB 897, Wieckowski\. Accessory dwelling units: junior accessory dwelling units\."
ab130,chapter,22,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,Assembly Bill No. 130 CHAPTER 22,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab130,enacted,"June 30, 2025",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,"Approved by Governor June 30, 2025.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab130,immediate,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,to take effect immediately,to take effect immediately
ab130,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,"AB 130, Committee on Budget. Housing.","AB 130, Committee on Budget\. Housing\."
ab130,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260AB130,this division does not apply to any aspect of a housing development project,this division does not apply to any aspect of a housing development project
ab130,elig_source,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PRC&sectionNum=21080.66,this division does not apply to any aspect of a housing development project,this division does not apply to any aspect of a housing development project
sb131,chapter,24,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,Senate Bill No. 131 CHAPTER 24,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb131,enacted,"June 30, 2025",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,"Approved by Governor June 30, 2025.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb131,immediate,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,to take effect immediately,to take effect immediately
sb131,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,"SB 131, Committee on Budget and Fiscal Review. Public Resources.","SB 131, Committee on Budget and Fiscal Review\. Public Resources\."
sb131,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB131,This division does not apply to a rezoning that implements the schedule of actions contained in an approved housing element,This division does not apply to a rezoning that implements the schedule of actions contained in an approved housing element
sb79,chapter,512,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB79,Senate Bill No. 79 CHAPTER 512,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb79,enacted,"October 10, 2025",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB79,"Approved by Governor October 10, 2025.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb79,effective,"January 1, 2026",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65912.155,"Stats. 2025, Ch. 512, Sec. 1. (SB 79) Effective January 1, 2026","Stats\. 2025, Ch\. 512, Sec\. [\d.]+\. \(SB\ 79\) Effective (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})"
sb79,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB79,"SB 79, Wiener. Housing development: transit-oriented development.","SB 79, Wiener\. Housing development: transit-oriented development\."
