law,field,value,source_url,quote,pattern
fzp,enacted,"December 09, 2025",https://sfbos.archive.sf.gov/sites/default/files/o0245-25.pdf,"Date Passed: December 09, 2025","(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
fzp,target,,https://sfbos.archive.sf.gov/sites/default/files/o0245-25.pdf,create the Housing Choice-San Francisco Program to incent housing development through a local bonus program,create the Housing Choice-San Francisco Program to incent housing development through a local bonus program
fzp,effective,1/12/2026,https://sfbos.org/ordinances-2025,250701 0245-25 1/12/2026,"250701 0245-25 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
incwaiver,enacted,"December 16, 2025",https://sfbos.archive.sf.gov/sites/default/files/o0260-25.pdf,"Date Passed: December 16, 2025","(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
incwaiver,target,,https://sfbos.archive.sf.gov/sites/default/files/o0260-25.pdf,allow the City to waive the lnclusionary Housing Fee and other requirements,allow the City to waive the lnclusionary Housing Fee and other requirements
incwaiver,effective,1/23/2026,https://sfbos.org/ordinances-2025,250815 0260-25 1/23/2026,"250815 0260-25 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
feedefer,enacted,"October 21, 2025",https://sfbos.archive.sf.gov/sites/default/files/o0196-25.pdf,"Date Passed: October 21, 2025","(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
feedefer,target,,https://sfbos.archive.sf.gov/sites/default/files/o0196-25.pdf,postponing the collection of development impact fees for designated residential development projects,postponing the collection of development impact fees for designated residential development projects
feedefer,effective,11/24/2025,https://sfbos.org/ordinances-2025,250657 0196-25 11/24/2025,"250657 0196-25 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
sitepermit,enacted,"July 25, 2023",https://sfbos.archive.sf.gov/sites/default/files/o0154-23.pdf,"Date Passed: July 25, 2023","(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
sitepermit,target,,https://sfbos.archive.sf.gov/sites/default/files/o0154-23.pdf,define and limit the scope of Building Official review of site permits,define and limit the scope of Building Official review of site permits
sitepermit,effective,8/28/2023,https://sfbos.org/ordinances-2023,230374 0154-23 8/28/2023,"230374 0154-23 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
cuappeal,enacted,9/6/2022,https://sfbos.archive.sf.gov/sites/default/files/o0191-22.pdf,FINALLY PASSED on 9/6/2022,"(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
cuappeal,target,,https://sfbos.archive.sf.gov/sites/default/files/o0191-22.pdf,allow the signatures of Verified Tenants to count towards the threshold needed to permit an appeal of a Conditional Use authorization,allow the signatures of Verified Tenants to count towards the threshold needed to permit an appeal of a Conditional Use authorization
cuappeal,effective,10/17/2022,https://sfbos.org/ordinances-2022,220130 0191-22 10/17/2022,"220130 0191-22 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
mindens,enacted,"December 17, 2024",https://sfbos.archive.sf.gov/sites/default/files/o0292-24.pdf,"Date Passed: December 17, 2024","(?:Date Passed: (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})|FINALLY PASSED on (?P<w>[\d/]+))"
mindens,target,,https://sfbos.archive.sf.gov/sites/default/files/o0292-24.pdf,require oonditional use authorization for residential housing developments that do not maximize minimum residential density,require oonditional use authorization for residential housing developments that do not maximize minimum residential density
mindens,effective,1/19/2025,https://sfbos.org/ordinances-2024,230596 0292-24 1/19/2025,"230596 0292-24 (?P<v>\d{1,2}/\d{1,2}/\d{4})"
