case_number,hearing_date,request_type,project_address,block,lot
2005.0380D,2005-07-21,discretionary_review,2733 lombard street,940,24
2001.0062EDD,2005-07-28,discretionary_review,491 bayshore boulevard,5598,8;9;11;13;15;16;18;21;28
2004.1266CDZ,2005-09-01,discretionary_review,323 14th Avenue,1446,54
2005.0072D,2005-09-08,discretionary_review,179 sadowa street,7138,32
2005.0073D,2005-09-08,discretionary_review,183 sadowa street,7138,32
2004.0920EXV,2005-09-15,downtown_project,973 Market Street,3704,69
2004.0633C,2005-09-22,conditional_use,268-272 McAllister Street,347,7
2004.0811D,2005-10-20,discretionary_review,1070 sanchez street,3654,3
2004.0196D,2005-10-27,discretionary_review,101 poppy lane,6713,56
2004.0672ECV,2005-11-03,variance,2660 harrison street,3639,4A
2004.1272DDV,2005-11-17,discretionary_review,600 kansas street,4029,1
2004.1272DDV,2005-11-17,discretionary_review,600 kansas street,4029,1
2004.1272DV,2005-11-17,discretionary_review,600 kansas street,4029,1
2004.1272DV,2005-11-17,discretionary_review,600 kansas street,4029,1
2005.0818XV,2005-12-08,variance,149 Fell Street,834,17
2005.0565C,2006-01-05,conditional_use,2110 Clement Street,1411,9
2005.0991C,2006-01-12,conditional_use,3011 steiner street,535,4A
2005.1047D,2006-01-12,discretionary_review,739-12th avenue,1655,10
2005.1052D,2006-01-19,discretionary_review,1 Palo Alto Drive,2724,3
2004.0275DD,2006-01-26,discretionary_review,450 frederick street,1262,12
2005.0480CV,2006-02-02,conditional_use,2814-2824 Jennings Street,4912,1
2005.1052D,2006-02-16,discretionary_review,1 Palo Alto Drive,2724,3
2005.1055C,2006-02-23,conditional_use,881 innes avenue,4654,13
2005.1144D,2006-02-23,discretionary_review,9 de soto street,6929,11
2006.0079D,2006-03-09,discretionary_review,626 rivera street,2201,3
2005.0541XV,2006-03-16,variance,49 Kearny Street,310,2
2006.0113D,2006-03-16,discretionary_review,2935 Pacific Avenue,976,27
2006.0076D,2006-04-06,discretionary_review,538 laidley street,6728,12
2005.1093D,2006-04-27,discretionary_review,2900 fulton street,1648,17
2005.1203CV,2006-04-27,variance,427-472 diamond street,2768,13
2005.1084C,2006-05-25,variance,1811 34th Avenue,2071,1
2005.0337D,2006-06-01,discretionary_review,77 seneca avenue,6969,8B
2006.0406D,2006-06-01,discretionary_review,455 27th street,6591,34
2005.0089DDDDDDDDDDDE,2006-06-15,discretionary_review,2121-2123 leavenworth street,94,2
2006.0523D,2006-07-13,discretionary_review,372-374 capp street,3590,48
2006.0409D,2006-07-20,discretionary_review,1 belgrave avenue,2662,24
2005.0659C,2006-08-03,conditional_use,85 Saint Elmo Way,3049,32
2005.0781D,2006-08-03,discretionary_review,1467 clayton street,2712,4A
2006.0833D,2006-09-14,discretionary_review,1 palo alto drive,2724,3
2005.1090CV,2006-09-21,conditional_use,1362 & 1366 14th avenue,1768,8;15B
2005.1143D,2006-10-05,discretionary_review,124 schwerin street,6301,5
2006.0898D,2006-10-12,discretionary_review,461 chenery street,6718,22
2006.0833D,2006-11-02,discretionary_review,1 Palo Alto Drive,2724,3
2005.0817CD,2006-11-09,discretionary_review,473 haight street,859,38
2006.0390DV,2006-11-09,discretionary_review,152 elsie street,20,5618
2006.0833D,2006-12-14,discretionary_review,1 palo alto drive,2724,3
2006.1333D,2007-01-11,discretionary_review,843 howard street,3733,82
2006.0451ACV,2007-01-18,variance,250 Brannan Street,3774,25
2006.0451ACV,2007-01-18,variance,250 Brannan Street,3774,25
2006.1059D,2007-01-18,discretionary_review,528-530 stanyan street,1213,5
2006.1085D,2007-01-18,discretionary_review,244 32nd avenue,1391,15
2006.1085D,2007-01-18,discretionary_review,244 32nd avenue,1391,15
2006.0897D,2007-02-01,discretionary_review,3300 clay street,997,3
2006.1528D,2007-02-08,discretionary_review,2012-2014 powell street,63,18B
2006.0923D,2007-02-15,discretionary_review,443 madrid street,6079,29
2006.1219CV,2007-03-22,variance,610 fillmore street,821,18
2006.1087C,2007-04-05,conditional_use,853-855 goettingen street,6154,12
2006.1415D,2007-04-05,discretionary_review,2721 pierce street,560,6
2007.0096D,2007-04-12,discretionary_review,542 kansas street,4010,10
2005.0937D,2007-04-19,discretionary_review,736 valencia street,3588,5
2006.1488DDDD,2007-04-26,discretionary_review,1911 funston avenue,2121A,50
2006.0734C,2007-05-10,conditional_use,3192 16th street,,
2006.0949DDDDDDD,2007-05-10,discretionary_review,376 eureka street,2749,17
2006.1340D,2007-05-10,discretionary_review,2219 bryant street,4087,37
2007.0041DD,2007-05-10,discretionary_review,1369 folsom street,3519,68
2007.0125D,2007-05-10,discretionary_review,270 ocean avenue,3211,10A
2007.0041DD,2007-05-17,discretionary_review,1369 folsom street,3519,68
2005.0633V,2007-05-31,variance,113 pixley street,516,7
2004.0588CV,2007-06-07,variance,255 7th street,37,126;156
2005.1134DDDD,2007-06-07,discretionary_review,3424 jackson street,971,3B
2007.0307D,2007-06-14,discretionary_review,2258 27th avenue,2323,21A
2007.0115D,2007-06-21,discretionary_review,174 valencia street,3502,14
2004.1245EKV,2007-06-28,large_project_authorization,300 Grant Avenue,287,13;14
2005.1059DV,2007-07-26,variance,2986 22nd Street,3613,18B
2006.0106CV,2007-08-02,variance,473 eucalyptus drive,7295,11
2007.0306DD,2007-08-02,discretionary_review,9 Douglass Street,2623,47
2007.0531D,2007-08-02,discretionary_review,230 11th street,3516,5
2007.0164D,2007-08-09,discretionary_review,40 juanita way,2901B,10
2007.0388C,2007-08-09,variance,2574 san bruno avenue,5981,11
2007.0297D,2007-08-30,discretionary_review,700 valencia street,3588,1
2007.0294D,2007-09-20,discretionary_review,607 haight street,861,35
2004.1245EKV,2007-09-27,large_project_authorization,300 Grant Avenue,287,13;14
2007.0595D,2007-09-27,discretionary_review,350 divisadero,1217,27
2007.0722D,2007-10-04,discretionary_review,2348 9th avenue,2338,17
2006.1413D,2007-10-11,discretionary_review,1845-1851 market street,3502,43
2007.0631D,2007-10-11,discretionary_review,1545 ocean avenue,6936,11
2007.0673D,2007-10-11,discretionary_review,194 church street,3537,16
2007.0657D,2007-10-18,discretionary_review,958 geary street,693,12
2007.0722D,2007-10-18,discretionary_review,2348 9th avenue,2338,17
2004.1245EKVX,2007-10-25,large_project_authorization,300 grant avenue,287,13;14
2005.0842D,2007-11-01,discretionary_review,1135-1139 green street,125,115;116;117
2006.1355DDV,2007-11-08,variance,130 Ledyard Street,5398,2
2006.1355DDV,2007-11-08,discretionary_review,130 ledyard street,5398,2
2007.1210D,2007-11-15,discretionary_review,519 29th street,6630,43
2006.1362D,2007-12-06,discretionary_review,76 laidley street,7538,17
2007.0162D,2007-12-06,discretionary_review,2908 ulloa street,2395,41
2007.1222D,2007-12-06,discretionary_review,848-850 bay street,26,15
2006.0847D,2007-12-13,discretionary_review,2071 43rd avenue,2163,18
2007.0448DDDV,2007-12-20,discretionary_review,456 urbano drive,6916,10
2006.0689D,2008-01-24,discretionary_review,585 Texas Street,4102,52
2006.0689D,2008-01-31,discretionary_review,585 texas street,4102,52
2005.0336D,2008-02-07,discretionary_review,252 holyoke street,5976,6
2007.0632D,2008-02-07,discretionary_review,442 haight street,849,15
2007.1356D,2008-02-07,discretionary_review,526 9th avenue,1551,43
2008.0068DD,2008-02-07,discretionary_review,252 holyoke street,5976,6
2004.0914C,2008-02-14,other,793 South Van Ness Avenue,3591,24
2007.0781D,2008-02-14,discretionary_review,14 Valencia Street,3503,3
2007.1430D,2008-02-14,discretionary_review,101 arbor & 102 conrad streets,7553,47;48
2007.1373D,2008-02-21,discretionary_review,169 delta street,6202,46
2007.0475V,2008-02-28,variance,61-63 Alpine Terrace,1259,21
2007.0781D,2008-02-28,discretionary_review,14 valencia street,3503,3
2007.1193D,2008-02-28,discretionary_review,770 18th avenue,1660,28
2007.1211D,2008-02-28,discretionary_review,1140 potrero avenue,4211,9
2007.1393D,2008-02-28,discretionary_review,2655-2657 greenwich street,943,22
2007.1432D,2008-03-06,discretionary_review,51 seal rock drive,1482,27
2006.0799CEVZ,2008-03-13,variance,261 octavia street,839,29
2007.0177D,2008-03-13,discretionary_review,626 paris street,6345,7
2007.1039D,2008-03-13,discretionary_review,3326 santiago street,2305,22
2007.0166DV,2008-03-27,discretionary_review,1355-1533 mcallister street,1180,23
2007.0166DV,2008-03-27,variance,1355 1533 McAllister Street,1180,23
2007.0973DDD,2008-03-27,discretionary_review,1420 montgomery street,85,37
2007.1193D,2008-03-27,discretionary_review,770 18th avenue,1660,28
2006.1519D,2008-05-01,variance,1413 noe street,6591,22A
2008.0439DD,2008-05-01,discretionary_review,1413 noe street,6591,22A
2007.1344V,2008-05-08,variance,1949 Oak Street,1226,28
2004.1245EKV,2008-05-15,large_project_authorization,300 Grant Avenue,287,13;14
2005.0298KEC,2008-05-15,variance,1285 sutter street,691,8
2004.1245EVX,2008-06-12,variance,300 grant avenue,287,13;14
2008.0376C,2008-06-26,variance,1599 haight street,1245,23
2008.0623D,2008-07-17,discretionary_review,762 clayton street,1254,94
2008.0474V,2008-07-24,variance,955 valencia street,,
2007.0785VZ,2008-08-08,variance,483 bosworth street,6753,63
2003.0845CV,2008-08-14,variance,201 leland avenue,6252,36
2007.1422V,2008-08-14,variance,126 Guerrero Street,3534,5
2008.1224DV,2008-09-11,variance,59 mirabel avenue,5517,27
2007.1334AC,2008-10-02,variance,1011 tennessee street,4172,53
2008.0501DDD,2008-10-16,discretionary_review,79 26th avenue,1305,8
2007.1383CEKXCV,2008-11-13,variance,474 natoma street,3725,101
2007.0603CU,2008-11-20,other,1001 potrero avenue,4154,1
2008.0988CV,2008-11-20,variance,335 Oak Street,839,25
2007.0684DV,2008-12-04,variance,260 ripley street,5550,53
2006.0881ECVZ,2008-12-18,variance,420-430 29th Avenue,1460,14B;15
2007.1439D,2008-12-18,variance,61 pond street,3564,55
2007.1230ECV,2009-03-19,variance,49 Grace Street,3509,27
2007.1250X,2009-03-19,variance,333 harrison street,3766,9
2008.0940C,2009-03-26,conditional_use,2250 vallejo street,557,9
2008.1161C,2009-03-26,conditional_use,99 west portal avenue,2979A,21A
2008.0322V,2009-05-07,variance,2948-2950 Fillmore Street,540,17
2008.1401C,2009-05-07,variance,995-999 Sutter Street,300,12
2007.1464EKXC,2009-05-14,variance,1036 mission street,3703,79;80
2006.1431ECV,2009-06-04,variance,1960-1998 market street,872,5;6;7
2007.0129V,2009-06-04,variance,100 32nd avenue,1312,8
2005.1106C,2009-06-25,conditional_use,2655 bush street,1052,24
2008.0788C,2009-07-09,variance,50-52 Grenard Terrace,502,9
2009.0422XV,2009-07-23,variance,149 fell street,834,17
2009.0327D,2009-09-03,discretionary_review,905-907 diamond street,6539,26
2009.0476CV,2009-09-03,variance,178 townsend street,3788,12
2006.0825CVS,2009-09-17,variance,782-786 andover street,5825,7;8;9
2008.0003DDDDDDD,2009-10-01,discretionary_review,176 randall street,6655,30
2008.1379DDDDDV,2009-10-08,discretionary_review,448 pennsylvania avenue,4064,7
2006.0431CEK,2009-12-10,variance,1080 sutter street,279,11
2008.0673V,2009-12-10,variance,71 Granada Avenue,7016,4
2009.0102DPV,2009-12-17,variance,1966 great highway,2086,7A
