case_number,motion_number,hearing_date,request_type,project_address,block,lot
2001.1202C,16429,2002-06-06,conditional_use,5200 diamond heights boulevard,7521,1
2002.0014C,16425,2002-06-06,conditional_use,257 broad street,7114,53
2000.1058CE,16445,2002-06-20,conditional_use,1598 dolores street,6618,7;9;38
2001.0535ECVK,16443,2002-06-20,conditional_use,724-730 Van Ness Avenue,742,4;8
2002.0408C,16446,2002-06-20,conditional_use,2863 California Street,1028,23
2000.0005EZKCR,16455,2002-06-27,conditional_use,375 Laguna Honda Boulevard,2842,7
2001.0378CV,16457,2002-06-27,conditional_use,131 and 145 taylor street,339,2;18
2002.0050BD,16451,2002-06-27,other,3251-3271 18th Street,3591,18
2002.0279X,16459,2002-09-12,downtown_project,1 Front Street,266,9
2002.0613IC,16464,2002-09-26,conditional_use,301 lyon street,1207,8
2002.0155C,16466,2002-10-03,conditional_use,1221 oakdale avenue,4733,11
2002.0401C,16465,2002-10-03,conditional_use,531-539 mission street,3721,68;83
2002.0440C,16467,2002-10-03,conditional_use,77-79 shotwell street,3549,66
2002.0217C,16470,2002-10-17,conditional_use,3426-28 balboa street,1578,14A
2002.0229C,16472,2002-10-17,conditional_use,2545 judah street,1823,51
2002.0299CD,16473,2002-10-17,conditional_use,651 29th street,7537,48;49
2002.0736C,16471,2002-10-17,conditional_use,2444 noriega street,2018,4F
2000.914EKCV,16478,2002-11-14,conditional_use,650-666 eddy street,740,11;12
2002.0441CR,16476,2002-11-14,conditional_use,1701 jerrold avenue,5280,1
2001.1078C,16482,2002-11-21,conditional_use,1507 ocean avenue,6936,17
2002.0934AKXV,16479,2002-11-21,large_project_authorization,333 Grant Avenue,286,2
2002.0124CVR,16488,2002-12-05,conditional_use,2815 diamond street,6745,25A;26;27;28;29;63
2002.0466EKXC,16484,2002-12-05,large_project_authorization,555 and 575 market street,3708,57;58
2002.0466EKXC,16485,2002-12-05,conditional_use,555 and 575 market street,3708,57;58
2002.0691B,16483,2002-12-05,office_allocation,499 illinois street,,
2001.0283ICV,16494,2002-12-12,conditional_use,380-386 ellis street,324,11
2002.0836C,16492,2002-12-12,conditional_use,3711 19th Avenue,7335,1
2002.0110EKC,16496,2002-12-19,conditional_use,2130 fulton street,1145,3
2002.0313CV,16498,2002-12-19,conditional_use,527 gough street,793,34;40
2002.0451ECKTZ,16502,2002-12-19,conditional_use,1250 haight street,1234,11;14
2002.1112C,16497,2002-12-19,conditional_use,560 hayes street,807,8
2002.0414TZ,16507,2003-01-09,planning_code_amendment,,,
2002.0940C,16503,2003-01-09,conditional_use,1780 oakdale avenue,5312,21
2002.1007C,16504,2003-01-09,conditional_use,1193 oak street,1218,23
2002.0915EC,16511,2003-01-16,conditional_use_modification,1635 california street,646,14
2002.1153T,16509,2003-01-16,planning_code_amendment,,,
2001.1058CEKZ,16515,2003-01-23,conditional_use,2161 sutter street,682,5
2002.0223B,16516,2003-01-23,office_allocation,501 folsom street,3749,1
2002.0942C,16513,2003-01-23,conditional_use,470-476 castro street,2647,12
2002.0281EC,16517,2003-02-06,conditional_use,"5825-5845 mission street, 50-68 oliver street & 846-848 brunswick street",6472,2;3;5;14;15;27
2002.0367C,16526,2003-02-06,conditional_use,1601 lane street,5340,9
2002.0470CV,16525,2003-02-06,conditional_use,2012 pine street,651,3A
2002.0951XV,16527,2003-02-06,downtown_project,693 sutter street,297,9
2002.1078C,16524,2003-02-06,conditional_use,3734 geary boulevard,1433,10;11
2002.1087C,16523,2003-02-06,conditional_use,1201-19th avenue,1731,1
2002.0813C,16531,2003-02-20,conditional_use,177 townsend street,3794,4;7
2002.1001CD,16532,2003-02-20,conditional_use,2020 clement street,1412,17
2002.0575C,16534,2003-02-27,conditional_use,3400 block of 19th street,3596,104
2002.0812KCV,16535,2003-02-27,downtown_project,61-69 clementina street,3736,36;37
2002.0812KXCV,16536,2003-02-27,conditional_use,61-69 Clementina Street,3736,36;37
2002.1238C,16538,2003-03-06,conditional_use,1777 fulton street,1186,18A
2003.0027C,16537,2003-03-06,conditional_use,2969 24th street,4270,36
2002.0828C,16541,2003-03-13,conditional_use,598 belvedere street,1279,48
2002.1111CV,16544,2003-03-13,conditional_use,1451-1455 haight street,1244,28
2002.1174C,16542,2003-03-13,conditional_use,2223 polk street,550,6
2000.1311ECD,16546,2003-03-20,conditional_use,2690 harrison street,3639,4
2002.0771CDV,16550,2003-03-20,conditional_use,559 vallejo street,145,27;35;36
2002.0877CR,16548,2003-03-20,conditional_use,720 moscow street,6338,24
2002.0260C,16555,2003-03-27,conditional_use,965-985 Geneva Avenue,6409,6;7;8;9;10
2002.0925ACV,16556,2003-03-27,conditional_use,639-699 2nd Street,3789,4;5
2002.0925ACV,16557,2003-03-27,historic,639-699 2nd street,3789,4;5
2002.1231C,16558,2003-03-27,conditional_use,1017 ocean avenue,6945,41
2003.0032C,16552,2003-03-27,conditional_use,1200 9th avenue,1742,51;52
2003.0083C,16553,2003-03-27,conditional_use,570 green street,116,20
2002.0390CD,16564,2003-04-03,conditional_use,1628 larkin street,217,17
2002.0395C,16562,2003-04-03,conditional_use,417 31st avenue,1463,1
2002.0967C,16561,2003-04-03,conditional_use,2000 van ness avenue,595,5
2003.0037C,16560,2003-04-03,conditional_use,165-167 Texas Street,3986,16;17;18
2001.0862EKIHX,16569,2003-04-10,large_project_authorization,50-70 oak street,834,5;7
2002.0446CEKV,16572,2003-05-01,conditional_use,40-50 lansing street,3749,11
2002.0475E,16573,2003-05-01,appeal_preliminary_negative_declaration,,,
2002.0657C,16571,2003-05-01,conditional_use,3725 buchanan street,445A,4
2003.0020CV,16575,2003-05-01,conditional_use,2800 taraval street,2367,12
2003.0220C,16574,2003-05-01,conditional_use_modification,495 castro street,3582,57
2003.0016C,16576,2003-05-08,conditional_use,653 kearny street,226,1
2003.0093TZ,16577,2003-05-08,planning_code_amendment,,,
2002.0333C,16579,2003-05-15,conditional_use,284 valencia street,3533,9
2003.0226CV,16581,2003-05-15,conditional_use,1038 howard street,3726,17
2002.0065KAC,16590,2003-05-22,conditional_use,150 Broadway,141,11
2002.0065KAC,16589,2003-05-22,historic,150 Broadway,141,11
2002.0897CV,16584,2003-05-22,conditional_use,130-134 ripley street,5549,101
2002.1041C,16586,2003-05-22,conditional_use,103-111 sagamore street,7147,32
2002.1175C,16585,2003-05-22,conditional_use,680-686 valencia street,3577,7
2003.0120C,16583,2003-05-22,conditional_use,3927 lawton street,1898,43
2002.1093C,16593,2003-06-05,conditional_use,1420 haight street,1232,5
2002.0477C,16600,2003-06-12,conditional_use,351-363 shotwell street,3574,67;113
2002.0497C,16596,2003-06-12,conditional_use,2026 lombard street,492,25
2003.0028XCV,16597,2003-06-12,downtown_project,150 Powell Street,327,22
2003.0028XCV,16598,2003-06-12,conditional_use,150 Powell Street,327,22
2003.0437C,16601,2003-06-19,conditional_use,3817 noriega street,2082,1
2002.0809C,16605,2003-06-26,conditional_use,340-370 Valencia Street,3546,2
2003.0162C,16606,2003-06-26,conditional_use,1624 california street,643,7
2003.0166C,16603,2003-06-26,conditional_use,2068-2070 Mission Street,3569,13
2002.1049C,16611,2003-07-10,conditional_use,34 leland avenue,6248,10
2003.0109EKCV,16610,2003-07-10,conditional_use,988-992 howard street,3725,25
2003.0466C,16608,2003-07-10,conditional_use,555 4th street,3776,119
2003.0544C,16612,2003-07-10,conditional_use,605 italy avenue,6340,25A
2002.0430C,16614,2003-07-17,conditional_use,378 10th Avenue,1441,35
2003.0223C,16615,2003-07-17,conditional_use,1275 fell street,1215,11
2003.0606C,16613,2003-07-17,conditional_use,2111 mission street,3575,91
2002.1219C,16619,2003-07-24,conditional_use,1770-1780 fell street,1209,18
2001.0792EXKC,16623,2003-07-31,conditional_use,301 Mission Street,3719,1;17
2001.0792IEKXC,16622,2003-07-31,downtown_project,301 mission street,3719,1;17
2003.0596C,16628,2003-07-31,conditional_use,seawall lot #330,3771,
2002.1121C,16637,2003-08-21,conditional_use,344 taraval street,2342,21
2002.1301CV,16635,2003-08-21,conditional_use,230-242 turk street,338,24;6
2003.0018C,16633,2003-08-21,conditional_use,450 rhode island street,3978,1
2003.0038T,16632,2003-08-21,planning_code_amendment,,3978,1
2003.0532XV,16634,2003-08-21,downtown_project,239 grant avenue,294,4
2003.0376C,16639,2003-08-28,conditional_use,5630 Mission Street,7098,12
2003.0705C,16640,2003-08-28,conditional_use,3981 alemany boulevard,7126A,9
,16646,2003-09-04,,,,
2000.1090C,16648,2003-09-04,conditional_use,300 spear street,3745,1
2002.0207C,16650,2003-09-04,conditional_use,5894-5898 mission street,7143,33
2002.0896C,16654,2003-09-04,conditional_use,436 clementina street,3732,62
2002.1021C,16653,2003-09-04,conditional_use,2525 California Street,655,32
2003.0278C,16651,2003-09-04,conditional_use,5810 mission street,7143,39;42;49
2003.0727C,16655,2003-09-04,conditional_use,498-6th street,3759,11
2003.0796C,16656,2003-09-04,conditional_use,1501-1503 Grant Avenue,103,7
2002.0277C,16658,2003-09-18,conditional_use,150 golden gate avenue,344,4
2002.0447C,16661,2003-09-18,conditional_use,302 silver avenue,5952,2
2003.0244C,16660,2003-09-18,conditional_use,2101 block of bryant street & 2830 20th street,4080,60;62;63
2003.0411EX,16664,2003-09-18,downtown_project,530-532 folsom street,3736,17
2003.0653C,16662,2003-09-18,conditional_use,287 297 sagamore street,7148,39
2002.1306C,16665,2003-09-25,conditional_use,1155 tennessee street,4172,44
2003.0042T,16667,2003-09-25,planning_code_amendment,,,
2001.0911R,16671,2003-10-02,general_plan_amendment,,1700,1
2002.0804C,16674,2003-10-02,conditional_use,1212 geary boulevard,696,2
2002.1105C,16670,2003-10-02,conditional_use,4039 18th street,3583,81
2003.0766TZ,16672,2003-10-02,planning_code_amendment,,,
2003.0801TZ,16673,2003-10-02,planning_code_amendment,,,
2003.0804C,16676,2003-10-02,conditional_use_modification,901-933 bayshore boulevard,5402,62
2003.0224C,16680,2003-10-23,conditional_use,600 van ness avenue,763,9
2003.0941C,16678,2003-10-23,conditional_use_modification,500-560 potrero avenue,4014,1
2002.1086C,16688,2003-11-13,conditional_use,501 2nd street,3774,67
2003.0141C,16687,2003-11-13,conditional_use,3535-3555 balboa street,1608,18
2003.0611C,16682,2003-11-13,conditional_use,1121 polk street,691,2
2003.0747C,16684,2003-11-13,conditional_use,1015 stockton street,192,3
2003.0809C,16685,2003-11-13,conditional_use,707-719 clement street,1440,36;38
2002.0628EKCV,16693,2003-12-04,conditional_use,1160 mission street,3702,37;38;56
2002.0628EKXCV,16692,2003-12-04,large_project_authorization,1160 mission street,3702,37;38;56
2002.0658C,16699,2003-12-04,conditional_use,735 7th avenue,1650,36
2003.0397C,16698,2003-12-04,conditional_use,1398 19th avenue,1773,10
2003.0865C,16695,2003-12-04,conditional_use,1356 grant avenue,132,51
2003.0924C,16696,2003-12-04,conditional_use_modification,659 columbus avenue,101,3
2003.0963C,16697,2003-12-04,conditional_use,1160 polk street,692,13
2002.1298EKCDV,16703,2003-12-18,conditional_use,624 and 630-632 laguna street,807,12;13
2003.0142C,16706,2003-12-18,conditional_use,3179 23rd street,3641,36
2003.0838C,16705,2003-12-18,conditional_use,848 cole street,1268,28
2003.0881C,16704,2003-12-18,conditional_use,3119 clement street,1464,26
2001.0569L,16712,2004-01-15,historic,3150 sacramento street,1006,121
2003.0280C,16707,2004-01-15,conditional_use,4071 18th street,3583,75
2004.2003.0993C,16713,2004-01-15,conditional_use,572-576 Green Street,116,20
2002.0605CV,16717,2004-01-22,conditional_use,4614-4630 california street,1368,49
2002.0376EKC,16725,2004-02-05,conditional_use,8 washington street,0168;0171;0201,58;69;12
2003.0868C,16719,2004-02-05,conditional_use,540 valencia street,3568,6
2003.0892C,16718,2004-02-05,conditional_use,1350-1352 thomas avenue,4791,7
2003.0940C,16720,2004-02-05,conditional_use,1469 18th street,4036,27
2003.1077C,16731,2004-02-19,conditional_use,1970 mcallister street,1159,14
2003.1082C,16729,2004-02-19,conditional_use,1145 Polk Street,691,1
2003.1258C,16732,2004-02-19,conditional_use,444 presidio avenue,1022,26
2003.1296C,16733,2004-02-19,conditional_use,3198 16th Street,3555,27
2003.1314C,16734,2004-02-26,conditional_use,900-916 grant avenue,194,12
2003.1038KCR,16738,2004-03-04,conditional_use,1490 Mason Street,159,46
2004.0050T,16740,2004-03-11,planning_code_amendment,,,
2000.152CV,16741,2004-03-18,conditional_use,3229-3231 mission street,5615,44
2002.1084C,16744,2004-03-18,conditional_use,321-323 grant avenue,286,3
2003.0080C,16742,2004-03-18,conditional_use,2599 lombard street,938,16
2003.0584EKCMTZLU,16748,2004-03-18,conditional_use,690 market street,311,6
2003.0584EKXCMTZLU,16747,2004-03-18,downtown_project,690 market street,311,6
2003.0584EKXCMTZLU,16751,2004-03-18,historic,690 market street,311,6
2003.0584EXCMTZLU,16746,2004-03-18,ceqa_environmental,690 market street,311,6
2003.0829C,16743,2004-03-18,conditional_use,1151-1153 geneva avenue,6405,17
1999.0233EC,16755,2004-03-25,conditional_use,833-881 jamestown avenue,4991,277
2001.1039EKBMZ,16759,2004-03-25,large_project_authorization,55 ninth street,3701,63;64
2002.1198CV,16762,2004-04-01,conditional_use,3184 mission street,6574,15
2003.0167C,16761,2004-04-01,conditional_use,42-44 shotwell street,3549,56
2003.1091C,16763,2004-04-01,conditional_use,2696 Geary Boulevard,1071,4
2003.1230C,16766,2004-04-08,conditional_use,1014 clement street,1422,19
2003.1305C,16767,2004-04-15,conditional_use,2238-2250 geary boulevard,1079,25
2004.0140C,16768,2004-04-15,conditional_use,496 14th street,3533,
2003.0949C,16771,2004-04-22,conditional_use,3300 clay street,997,4
2003.1273C,16770,2004-04-22,conditional_use_modification,2001 37th avenue,2094,6
2003.1181KCR,16780,2004-05-06,conditional_use,801-825 mission street,3724,67
2004.0116CV,16776,2004-05-06,conditional_use,528 divisadero street,1203,21
2004.0185C,16778,2004-05-06,conditional_use,3991 alemany boulevard,7126A,12
2003.1227C,16785,2004-05-13,conditional_use,549-573 mission street,3721,120
2003.0855C,16790,2004-05-20,conditional_use,680-682 haight street,847,19
2003.1159CR,16792,2004-05-20,conditional_use,1001 potrero avenue,4154,1
2003.1048CTV,16795,2004-05-27,rezoning_map_amendment,Oakdale Avenue and Third Street,5322,45
2003.1048CTZ,16796,2004-05-27,planning_code_amendment,,5322,45
2003.1048CTZV,16797,2004-05-27,conditional_use,4800 third street,5322,45
2003.0587EH,16805,2004-06-03,large_project_authorization,938-942 market street,341,5
2003.0587EHXLUV,16804,2004-06-03,historic,938-942 market street,341,5
2003.0841C,16808,2004-06-03,conditional_use,1950-1960 Green Street,542,40
2003.0846CR,16801,2004-06-03,conditional_use,1298 ocean avenue,3199,17
2004.0090EKCV,16802,2004-06-03,conditional_use,2655 van ness avenue,522,1
2002.0927EKCV,16813,2004-06-10,large_project_authorization,1340-1390 mission street,3508,13;26;27
2004.0213CV,16811,2004-06-10,conditional_use,52-60 6th street,3703,6
2004.0302T,16816,2004-06-10,planning_code_amendment,,,
2004.0306C,16815,2004-06-10,conditional_use,50 thomas more way,7380,10;11
2003.0375C,16825,2004-06-24,conditional_use,274 brannan street,3774,73
2004.0438C,16826,2004-06-24,conditional_use,3231 Mission Street,5615,44
2004.0480C,16824,2004-06-24,conditional_use,1400-1424 Grant Avenue,115,19
2004.0504T,16822,2004-06-24,planning_code_amendment,,,
2003.0313C,16838,2004-07-15,conditional_use,2243-2247 Market Street,3559,19
2003.1252C,16837,2004-07-15,conditional_use,498 funston avenue,1532,18
2004.0381C,16836,2004-07-15,conditional_use,2 sanchez street,3538,1
2004.0538T,16835,2004-07-15,planning_code_amendment,,,
2003.0363CD,16845,2004-08-05,conditional_use,2626 balboa street,1570,11A
2003.1243EZXC,16844,2004-08-05,conditional_use,418-420 jessie street,3704,6
2003.1243EZXC,16843,2004-08-05,downtown_project,418-420 jessie street,3704,6
2003.0429CV,16851,2004-08-12,conditional_use,520 chestnut street,52,9
2003.1208C,16847,2004-08-12,conditional_use,2601 mission street,3637,69
2004.0088C,16848,2004-08-12,conditional_use,1042 minna street,3511,76
2004.0402C,16852,2004-08-12,conditional_use,165 guerrero street,3533,29
2004.0522C,16849,2004-08-12,conditional_use,2001 union street,541,24
2204.0272XV,16853,2004-08-12,large_project_authorization,83 McAllister Street,351,32
2004.0658T,16855,2004-09-02,planning_code_amendment,,,
2004.0617C,16857,2004-09-09,conditional_use,1458-1462 grant avenue,115,21
2004.0645C,16856,2004-09-09,conditional_use,5825-5845 mission street,6472,2;3;5;14;15;27
2003.1086CV,16863,2004-09-23,conditional_use,1 south park,3775,7
2004.0198C,16861,2004-09-23,conditional_use,527 balboa street,1638,32
2004.0251C,16864,2004-09-23,conditional_use,2298 market street,3560,15
2004.0550C,16865,2004-09-23,conditional_use,562 arlington street,6726,23
2002.1220ECV,16868,2004-10-07,conditional_use,999 geary street,716,6;7
2004.0267C,16869,2004-10-07,conditional_use,3231-3237 Pierce Street,489,5;6
2004.0739T,16866,2004-10-07,planning_code_amendment,,,
2004.0182C,16870,2004-10-14,conditional_use,1135 Evans Avenue,4602A,14
2003.0304CV,16872,2004-10-21,conditional_use,829 folsom street,3752,91
2002.0928CEV,16878,2004-10-28,conditional_use,7-11 vandewater street,41,9;19
2003.0262EKCVMRTZ,16882,2004-10-28,downtown_project,1401-1435 market street,3507,39
2003.0262EKCVMRTZ,16883,2004-10-28,conditional_use,1401-1435 market street,3507,39
2004.0141C,16877,2004-10-28,conditional_use,100 felton street,5926,13
2004.0347C,16884,2004-11-18,conditional_use,2800 Leavenworth Street,11,7;8
2004.0551AXV,16885,2004-11-18,downtown_project,201 sansome street,260,5
2004.0234CV,16892,2004-11-29,conditional_use,2917-2919 24th street,426,15
2004.0660C,16890,2004-11-29,conditional_use,55 farallones street,7108,54
2004.0831C,16891,2004-11-29,conditional_use,532-536 green street,116,15
2003.0964C,16895,2004-12-02,conditional_use,1881 post street,701,1
2004.0353C,16896,2004-12-02,conditional_use,2241 Geary Boulevard,1098,50
2004.0501C,16897,2004-12-02,conditional_use,2000 Van Ness Avenue,595,5
2004.0649C,16893,2004-12-02,conditional_use,601-605 baker street,1177,10
2004.1029C,16894,2004-12-02,conditional_use,41-47 West Portal Avenue,2979A,26
2002.0129C,16903,2004-12-09,conditional_use,835 hyde street,279,3
2003.0145CVE,16915,2004-12-09,conditional_use,430 eddy street,334,8
2003.0151EKCV,16913,2004-12-09,conditional_use,519 Ellis Street,334,28
2003.0807CEK,16921,2004-12-09,conditional_use,606-624 divisadero street,1202,2J
2003.1162EC,16918,2004-12-09,conditional_use_modification,2351 Powell Street,31;32;33,1;3;4;1;2;3
2004.0882EMZRU,16908,2004-12-09,other,,4591A,10
2004.0925C,16916,2004-12-09,conditional_use,431 columbus avenue,131,26
2004.1047XC,16920,2004-12-09,conditional_use_modification,72 Ellis Street,327,11
2004.1047XC,16919,2004-12-09,downtown_project,72 Ellis Street,327,11
2004.0205EKCV,16923,2004-12-16,conditional_use,1218-1226 leavenworth street,220,23A
2004.0055Z,16926,2005-01-13,planning_code_amendment,,,
2002.1305C,16930,2005-01-20,conditional_use,1096 south van ness avenue,3615,10
2004.0574C,16931,2005-01-20,conditional_use,1656 shafter avenue,5342,5A
2004.0906EC,16932,2005-01-20,conditional_use,981 washington street,211,24
2004.0636CV,16935,2005-01-27,conditional_use_modification,325 fremont street,3747,12;13;14
2004.0952C,16937,2005-01-27,conditional_use,2141 chestnut street,490,20
2004.0560EKCVD,16941,2005-02-03,conditional_use,787 brannan street,3784,18
2004.0849C,16945,2005-02-03,conditional_use_modification,1720-1730 fulton street,1175,30
2001.0249EKCIV,16949,2005-02-24,conditional_use,605 kearny street,226,7
2004.0601C,16950,2005-02-24,conditional_use_modification,299 dolores street,3556,25
2001.0772C,16957,2005-03-03,conditional_use,3318 Mission Street,6635,3
2005.0081T,16958,2005-03-03,planning_code_amendment,,,
2004.1169C,16961,2005-03-10,conditional_use,1251 Thomas Avenue,4807,30
2004.1323C,16963,2005-03-10,conditional_use,4022-26 24th street,3656,10
2004.1320C,16964,2005-03-17,conditional_use,1177 california street,253A,258;259
2005.0140CEKV,16965,2005-03-17,conditional_use_modification,230-242 turk street,338,25
2004.0905C,16967,2005-03-24,conditional_use,3011 steiner street,535,4A
2005.0055C,16968,2005-03-24,conditional_use,59 30th street,6660,44
2004.0309EKFSCDTZ,16976,2005-04-07,conditional_use,2949 18th Street,4021,1
2005.0130C,16981,2005-04-07,conditional_use,3625 buchanan street,460A,126
2004.0945C,16983,2005-04-14,conditional_use,695 bryant,3777,47
2004.0508C,16992,2005-04-21,conditional_use,3555 cesar chavez street,6575,1
2004.1346C,16991,2005-04-21,conditional_use,5260 diamond heights boulevard,7521,2
2005.0110C,16993,2005-04-21,conditional_use,3800 24th street,3651,14
2005.0198X,16994,2005-04-21,downtown_project,301 mission street,3719,1;17
2004.0296EKX,16997,2005-04-28,large_project_authorization,631 folsom street,3750,90
2005.0092C,16995,2005-04-28,conditional_use,465 woolsey street,6118,15;16
2005.0096C,16996,2005-04-28,conditional_use,1160 Mission Street,3702,37;38;56
2000.1081EMTZ,17012,2005-05-05,planning_code_amendment,,3744;3745;3746;3747;3748;3749;3766;3767;3768;3769,
2004.0953EKVH,17003,2005-05-05,large_project_authorization,74 new montgomery street,3707,33
2004.0953EKVHX,17004,2005-05-05,historic,74 New Montgomery Street,3707,33
2004.1049CR,16998,2005-05-05,conditional_use,390 main street,3746,1
2004.1341EXCV,17002,2005-05-05,conditional_use,715-719 and 721 market street,3706,63;64
2004.1341EXV,17001,2005-05-05,downtown_project,715-719 and 721 market street,3706,63;64
2005.0097CV,17006,2005-05-05,conditional_use,890 vienna street,6353,3
2005.0311C,17000,2005-05-05,conditional_use,1303 polk street,667,3
2004.1212C,17015,2005-05-12,conditional_use,2839-41 Mission Street,6517,29
2004.1342EXV,17017,2005-05-12,large_project_authorization,693 Sutter Street,297,9
2005.0056C,17014,2005-05-12,conditional_use,1640 hayes street,1198,14
2003.0536CR,17022,2005-05-19,conditional_use,800 brotherhood way,7332,2;3
2003.0536CR,17023,2005-05-19,general_plan_amendment,800 brotherhood way,7332;7331,2;3
2004.0150C,17026,2005-05-26,conditional_use,1450 lombard street,498,29
2004.1338C,17025,2005-05-26,conditional_use,2231 pine street,660,31
2004.0487C,17029,2005-06-02,conditional_use,179 san carlos street,3589,23
2004.1067C,17030,2005-06-02,conditional_use,33-35 moss street,3731,67
2005.0105CV,17031,2005-06-02,conditional_use,134 golden gate avenue,344,3
2004.1339C,17032,2005-06-09,conditional_use,1057 Mississippi Street,4224,11
2002.1263C,17044,2005-06-16,conditional_use,329-349 fremont street,3747,19
2003.1113CMK,17037,2005-06-16,conditional_use,Candlestick Cove,4991,241;279
2003.1113CMK,17038,2005-06-16,general_plan_amendment,,4991,241;279
2004.0282L,17039,2005-06-16,historic,1000 great highway,1700,1
2005.0175CV,17036,2005-06-16,conditional_use,146-148 21st avenue,1380,28
2005.0394T,17042,2005-06-16,planning_code_amendment,,,
2002.0805RTZ,17051,2005-06-23,planning_code_amendment,,341;342;350;351;355;3507;3508;3509;3510;3701;3702;3703;3704;3725;3727;3728,35;39;2;18;19;36;37;40;41;42;43;1;78;82;86;87;88;89;90;91;93;91;94;96;97;101;102;103;109;117;118;120;130;134;168;173;174;175;176;177;178;180;181;182;183;184;72;75;76;81;83;89;103
2003.0205C,17047,2005-06-23,conditional_use_modification,"638, 660, 662 campbell avenue",6189,61;62;63
2003.1210ECK,17049,2005-06-23,conditional_use,5600 third street,5421,3;5;6;7;8;9;11
2004.0599C,17046,2005-06-23,conditional_use,1022 gilman avenue,4937,16
2005.0414C,17045,2005-06-23,conditional_use,2001 polk street,574,6
2004.0130CV,17063,2005-07-14,conditional_use,1353-1355 bush street,669,13
2004.0220CEK,17061,2005-07-14,conditional_use,1840 washington street,599,8
2004.0274CV,17058,2005-07-14,conditional_use,310 townsend street,3786,13
2004.1118C,17056,2005-07-14,conditional_use,1075 Evans Avenue,4603A,5
2005.0171D,17057,2005-07-14,discretionary_review,130 townsend street,3788,8
2005.0463CV,17059,2005-07-14,conditional_use,399 buena vista avenue east,2607,99
2004.0533C,17068,2005-07-28,conditional_use,737 tehama street,3729,65
2005.0106BC,17070,2005-07-28,office_allocation,185 berry street,3803,5
2005.0106BCK,17069,2005-07-28,conditional_use,185 berry street,3803,5
2005.0579C,17067,2005-07-28,conditional_use,1119 Mission Street,3727,130
2005.0433C,17073,2005-08-04,conditional_use,1339 polk street,667,2
2005.0459T,17074,2005-08-04,planning_code_amendment,,,
2004.0297EKCVX,17083,2005-09-01,conditional_use,535 Mission Street,3721,68;83
2004.0297EKVCX,17082,2005-09-01,large_project_authorization,535 Mission Street,3721,68;83
2004.1106CV,17084,2005-09-01,conditional_use,1360-1364 Stevenson Street,3513,73
2004.1135C,17080,2005-09-01,conditional_use,100 phelan avenue,3180,2
2004.1266CDZ,17086,2005-09-01,conditional_use,301-323 14th avenue,1446,54
2004.0076C,17096,2005-09-08,conditional_use,1350 natoma street,3548,89
2004.0392ACE,17099,2005-09-08,conditional_use,851 Beach Street,452,1
2004.1257C,17097,2005-09-08,conditional_use,1026 Valencia Street,3617,4
2005.0094C,17098,2005-09-08,conditional_use,81-83 ervine street,6190,33
2005.0197C,17091,2005-09-08,conditional_use,2022-2024 hayes street,1194,9
2005.0485C,17093,2005-09-08,conditional_use,69 & 75 West Portal Avenue,2979A,19;23C
2005.0529C,17092,2005-09-08,conditional_use,230 west portal avenue,2988A,12
2005.0664ET,17103,2005-09-15,planning_code_amendment,,,
2002.0449CV,17122,2005-10-06,conditional_use,375 fremont street,3747,6
2003.0758C,17120,2005-10-06,conditional_use,1880-1886 mission street,3547,2A;3;4;29
2004.0647C,17116,2005-10-06,conditional_use,2235 mission street,3590,31
2005.0451C,17115,2005-10-06,conditional_use,2001 37th avenue,2094,6
2005.0698C,17117,2005-10-06,conditional_use,80 west portal avenue,2931,8
2005.0868ETM,17123,2005-10-06,planning_code_amendment,,,
2004.0895C,17125,2005-10-20,conditional_use,4 craut street,5868,6;7
2005.0301L,17128,2005-10-20,historic,2151 Van Ness Avenue,575,15
2004.0305C,17132,2005-10-27,conditional_use,1111 junipero serra boulevard,7080,24
2004.1164CKV,17135,2005-10-27,conditional_use,"810, 816 & 826 van ness avenue",739,6;7;8
2005.0627XV,17133,2005-10-27,downtown_project,410 jessie street,3704,2
2005.0851C,17131,2005-10-27,conditional_use_modification,535 mission street,3721,68;83
2004.0672ECV,17139,2005-11-03,conditional_use,2660 harrison street,3639,4A
2004.0858C,17140,2005-11-10,conditional_use,766 vallejo street,130,43
2004.1306ECV,17141,2005-11-10,conditional_use,1018-1020 pine street,253,6
2002.0805U,17144,2005-11-17,other,,,
2002.0805U,17144,2005-11-17,other,,,
2004.0980CV,17142,2005-11-17,conditional_use,642 harrison street,3750,8
2004.0980CV,17142,2005-11-17,conditional_use,642 harrison street,3750,8
2004.0984C,17146,2005-11-17,conditional_use,2690-2696 geary boulevard,1071,4
2004.0984C,17146,2005-11-17,conditional_use,2690-2696 geary boulevard,1071,4
2005.0796T,17143,2005-11-17,planning_code_amendment,,,
2005.0796T,17143,2005-11-17,planning_code_amendment,,,
2004.0546C,17153,2005-12-01,conditional_use,680 Illinois Street,3994,3;7
2004.0563EKC,17151,2005-12-01,conditional_use,990 Columbus Avenue,65,48
2005.0281C,17150,2005-12-01,conditional_use,415 Judah Street,1844,48
2005.0564C,17152,2005-12-01,conditional_use,2101 lombard street,510,1
2004.1069C,17155,2005-12-08,conditional_use,1815-1817 taraval street,2397,41
2005.0818XV,17156,2005-12-08,downtown_project,149 fell street,834,17
2005.0978C,17157,2005-12-08,conditional_use,1636-1656 Powell Street,117,16
