case_number,matched_block,score,runner_up,confidence,human_date,matched_date
2001.0716D,tagged/2001/October_18_2001.txt#9,11.0,,confident,2001-10-18,2001-10-18
2001.0895D,tagged/2001/October_18_2001.txt#10,11.5,,confident,2001-10-18,2001-10-18
2001.0694D,tagged/2001/October_18_2001.txt#11,3.5,,confident,2001-10-18,2001-10-18
2001.0910D,tagged/2001/October_18_2001.txt#13,11.0,,confident,2001-10-18,2001-10-18
2000.1311ECD,tagged/2002/December_05_2002.txt#2,8.5,-6.5,confident,2002-12-05,2002-12-05
2001.1026C,tagged/2002/January_24_2002.txt#1,13.5,7.5,confident,2002-02-07,2002-01-24
2002.0037U,tagged/2002/January_24_2002.txt#11,12.5,9.5,confident,2002-01-17,2002-01-24
2001.0632C,tagged/2002/January_24_2002.txt#12,14.5,,confident,2002-01-24,2002-01-24
2001.0841C,tagged/2002/January_24_2002.txt#13,9.5,,confident,2002-01-24,2002-01-24
2001.0994C,tagged/2002/January_24_2002.txt#14,13.0,,confident,2002-01-24,2002-01-24
2001.0956D,tagged/2002/January_24_2002.txt#15,7.0,,confident,2002-01-24,2002-01-24
2001.0693D,tagged/2002/January_24_2002.txt#16,5.5,,confident,2002-01-24,2002-01-24
2002.0778E,tagged/2003/April_03_2003.txt#4,11.5,11.5,ambiguous,2003-04-03,2003-04-03
2003.0037C,tagged/2003/March_20_2003.txt#3,11.5,8.5,confident,2003-04-03,2003-03-20
2002.1120C,tagged/2003/April_10_2003.txt#11,11.5,11.5,ambiguous,2003-04-10,2003-04-10
2002.0636DD,tagged/2003/February_13_2003.txt#17,8.5,8.5,ambiguous,2003-02-13,2003-02-13
2002.1064D,tagged/2003/February_27_2003.txt#2,-0.5,-0.5,ambiguous,2003-02-27,2003-02-27
2002.1084C,tagged/2003/February_27_2003.txt#13,9.5,9.5,ambiguous,2003-02-27,2003-02-27
2003.0190D,tagged/2003/March_13_2003.txt#1,8.0,-1.0,confident,2003-03-13,2003-03-13
2002.1310D,tagged/2003/March_20_2003.txt#0,11.5,8.5,confident,2003-03-20,2003-03-20
2002.0038TZ,tagged/2003/March_20_2003.txt#4,12.5,,confident,2003-03-20,2003-03-20
2003.0073H,tagged/2003/March_20_2003.txt#12,12.0,,confident,2003-03-20,2003-03-20
2001.0792E,tagged/2003/March_20_2003.txt#14,0.0,,ambiguous,2003-03-20,2003-03-20
2002.1284D,tagged/2003/March_20_2003.txt#17,7.0,,confident,2003-03-20,2003-03-20
2003.0219D,tagged/2003/March_20_2003.txt#18,8.5,,confident,2003-03-20,2003-03-20
2003.0221D,tagged/2003/March_20_2003.txt#19,8.5,,confident,2003-03-20,2003-03-20
2003.0873D,tagged/2004/April_8_2004.txt#3,11.5,11.5,ambiguous,2003-11-06,2004-04-08
2003.1079D,tagged/2004/February_26_2004.txt#6,11.5,8.5,confident,2003-11-06,2004-02-26
2000.465E,tagged/2004/April_8_2004.txt#2,11.5,11.5,ambiguous,2004-04-01,2004-04-08
2004.0151D,tagged/2004/April_8_2004.txt#1,11.5,11.5,ambiguous,2004-04-08,2004-04-08
2003.1314C,tagged/2004/February_26_2004.txt#12,9.5,8.5,ambiguous,2004-02-19,2004-02-26
2001.1039E,tagged/2004/February_26_2004.txt#0,11.5,11.5,ambiguous,2004-02-26,2004-02-26
2003.1312T,tagged/2004/February_26_2004.txt#2,11.5,5.5,confident,2004-02-26,2004-02-26
2003.1327DD,tagged/2004/February_26_2004.txt#7,-0.5,,ambiguous,2004-02-26,2004-02-26
2003.0263D,tagged/2004/February_26_2004.txt#13,11.0,,confident,2004-02-26,2004-02-26
2003.1263D,tagged/2004/February_26_2004.txt#14,1.5,,ambiguous,2004-02-26,2004-02-26
2003.1330D,tagged/2004/February_26_2004.txt#15,9.5,,confident,2004-02-26,2004-02-26
2003.1281DD,tagged/2004/February_26_2004.txt#16,8.5,,confident,2004-02-26,2004-02-26
2004.0032D,tagged/2005/June_2_2005.txt#0,10.5,4.5,confident,2004-03-11,2005-06-02
2004.1078D,tagged/2005/June_9_2005.txt#0,10.5,4.5,confident,2005-04-28,2005-06-09
2005.0148DD,tagged/2005/December_1_2005.txt#1,4.5,1.5,confident,2005-12-01,2005-12-01
2003.0672CE,tagged/2005/June_9_2005.txt#1,10.5,,confident,2005-06-09,2005-06-09
2004.1339C,tagged/2005/June_9_2005.txt#3,11.0,,confident,2005-06-09,2005-06-09
2004.1254C,tagged/2005/June_9_2005.txt#4,11.0,,confident,2005-06-09,2005-06-09
2004.1204D,tagged/2005/June_9_2005.txt#6,-6.0,,ambiguous,2005-06-09,2005-06-09
2004.0874D,tagged/2005/June_9_2005.txt#7,9.0,,confident,2005-06-09,2005-06-09
2004.1265D,tagged/2005/June_9_2005.txt#8,9.0,,confident,2005-06-09,2005-06-09
2004.1305D,tagged/2005/June_9_2005.txt#9,10.0,,confident,2005-06-09,2005-06-09
2006.0056C,tagged/2007/January_18_2007.txt#5,8.0,6.0,confident,2006-04-20,2007-01-18
2006.0897D,tagged/2006/October_19_2006.txt#0,8.5,5.5,confident,2006-12-14,2006-10-19
2006.0893C,tagged/2006/October_19_2006.txt#3,8.5,,confident,2006-10-19,2006-10-19
2006.1052E,tagged/2006/October_19_2006.txt#4,9.5,,confident,2006-10-19,2006-10-19
2006.0896C,tagged/2006/October_19_2006.txt#5,10.0,,confident,2006-10-19,2006-10-19
2006.1221E,tagged/2006/October_19_2006.txt#8,10.0,7.0,confident,2006-10-19,2006-10-19
2005.0570D,tagged/2006/October_19_2006.txt#10,0.0,0.0,ambiguous,2006-10-19,2006-10-19
2006.0751D,tagged/2006/October_19_2006.txt#11,6.0,,confident,2006-10-19,2006-10-19
2006.0834D,tagged/2006/October_19_2006.txt#12,12.5,,confident,2006-10-19,2006-10-19
2006.1085D,tagged/2006/October_19_2006.txt#13,11.5,6.5,confident,2006-10-19,2006-10-19
2005.0937D,tagged/2007/April_19_2007.txt#8,6.5,3.5,confident,2007-04-19,2007-04-19
2007.0922C,tagged/2007/December_13_2007.txt#6,5.5,5.5,ambiguous,2007-12-13,2007-12-13
2007.0971C,tagged/2007/December_20_2007.txt#3,5.5,5.5,ambiguous,2007-12-20,2007-12-20
2007.0461C,tagged/2007/November_15_2007.txt#15,5.5,5.5,ambiguous,2007-11-15,2007-11-15
2004.0548E,tagged/2007/November_8_2007.txt#3,5.5,5.5,ambiguous,2007-11-08,2007-11-08
2007.0936T,tagged/2007/November_8_2007.txt#5,0.0,0.0,ambiguous,2007-11-08,2007-11-08
2001.0565L,tagged/2007/November_8_2007.txt#6,9.5,,confident,2007-11-08,2007-11-08
2007.0701C,tagged/2007/November_8_2007.txt#7,0.0,-1.0,ambiguous,2007-11-08,2007-11-08
2007.0952C,tagged/2007/November_8_2007.txt#13,7.5,,confident,2007-11-08,2007-11-08
2007.1012D,tagged/2007/November_8_2007.txt#14,5.0,,confident,2007-11-08,2007-11-08
2007.0696D,tagged/2007/November_8_2007.txt#17,-0.5,,ambiguous,2007-11-08,2007-11-08
2007.1108D,tagged/2007/November_8_2007.txt#18,2.0,,confident,2007-11-08,2007-11-08
2007.0584C,tagged/2009/May_14_2009.txt#7,4.5,-1.5,confident,2007-10-25,2009-05-14
2006.0441E,tagged/2008/July_17_2008.txt#2,10.5,10.5,ambiguous,2008-07-17,2008-07-17
2006.0441V,tagged/2008/July_17_2008.txt#3,10.5,10.5,ambiguous,2008-07-17,2008-07-17
2008.0492D,tagged/2008/September_4_2008.txt#17,12.5,-0.5,confident,2008-07-24,2008-09-04
2007.0189D,tagged/2008/September_4_2008.txt#6,10.5,-7.5,confident,2008-11-06,2008-09-04
2008.0501DDD,tagged/2008/September_4_2008.txt#18,12.0,2.0,confident,2008-11-06,2008-09-04
2007.0676D,tagged/2008/September_4_2008.txt#2,10.5,7.5,confident,2008-10-23,2008-09-04
2008.0752D,tagged/2008/September_4_2008.txt#3,10.5,7.5,confident,2008-10-23,2008-09-04
2007.0188D,tagged/2008/September_4_2008.txt#5,10.5,,confident,2008-09-04,2008-09-04
2007.1334A,tagged/2008/September_4_2008.txt#7,18.0,,confident,2008-09-04,2008-09-04
2008.0634C,tagged/2008/September_4_2008.txt#8,11.5,,confident,2008-09-04,2008-09-04
2008.0630C,tagged/2008/September_4_2008.txt#9,11.0,,confident,2008-09-04,2008-09-04
2008.0861C,tagged/2008/September_4_2008.txt#10,10.5,,confident,2008-09-04,2008-09-04
2008.1008T,tagged/2008/September_4_2008.txt#14,8.5,5.5,confident,2008-09-04,2008-09-04
2008.0805D,tagged/2008/September_4_2008.txt#16,10.0,,confident,2008-09-04,2008-09-04
2006.1065DDDD,tagged/2009/April_16_2009.txt#5,0.0,0.0,ambiguous,2009-04-16,2009-04-16
2006.1065V,tagged/2009/April_16_2009.txt#6,0.0,0.0,ambiguous,2009-04-16,2009-04-16
2008.1161C,tagged/2009/May_14_2009.txt#6,14.5,10.5,confident,2009-04-23,2009-05-14
2007.0128E,tagged/2009/April_23_2009.txt#1,10.5,10.5,ambiguous,2009-04-23,2009-04-23
2008.1014C,tagged/2009/May_14_2009.txt#3,13.5,10.5,confident,2009-04-23,2009-05-14
